0   0   4   0
2
20
4  50  1000  10
20
1    1    10    100   1   (5,5)
1    2    10    100   1   (5,5)
2    3    10    90    1   (5,5)
2    4    10    90    1   (5,5)
3    5    10    80    1   (5,5)
3    6    10    80    1   (5,5)
4    7    10    70    1   (5,5)
4    8    10    70    1   (5,5)
5    9    10    60    1   (5,5)
5    10   10    60    1   (5,5)
6    11   10    50    1   (5,5)
6    12   10    50    1   (5,5)
7    13   10    40    1   (5,5)
7    14   10    40    1   (5,5)
8    15   10    30    1   (5,5)
8    16   10    30    1   (5,5)
9    17   10    20    1   (5,5)
9    18   10    20    1   (5,5)
10   19   10    10    1   (5,5)
10   20   10    10    1   (5,5)





